Initial Setting;number of classes;Number of attributes;Number of references;Max hierarchical concatenation;Max DIT;Maintainability;Understandability;Complexity;Reusability;
http://geotools.org/data/efeature/efeature.ecore/1.0;1.0;0.0;5.0;0.0;0.0;1.2;1.0;1.0;0.0;
http://www.thalesgroup.com/openflexo/emf/model/city1;3.0;3.0;5.0;0.0;2.0;2.6;1.0;2.0;0.0;
http://www.urdad.org/2010/urdad;69.0;69.0;13.0;6.0;4.0;32.2;4.0434785;26.043478;0.67460316;
http://www.iec.ch/61850/2006/SCLmaintenance;2.0;3.0;3.0;0.0;1.0;1.8;1.0;1.0;0.0;
xls;16.0;15.0;22.0;2.0;1.0;11.2;1.6875;36.6875;0.26;
http://wikicontent/1.0;4.0;3.0;5.0;0.0;1.0;2.6;1.0;1.0;0.0;
http://org/ai4fm/proofprocess/v1.0.0.12;15.0;20.0;8.0;1.0;3.0;9.4;1.2;4.2;0.09677419;
http://www.earthsystemcurator.org/cplfm;28.0;8.0;4.0;3.0;1.0;8.8;2.0;3.0;0.0;
http://irit.fr/comdiag;5.0;4.0;4.0;2.0;1.0;3.2;2.2;9.2;0.42857143;
http://www.b2international.com/snomed/visualization/dsl/VisualizationModel;7.0;9.0;2.0;0.0;3.0;4.2;1.0;1.0;0.0;
http://modelum.es/atlanmod/api2mol;13.0;8.0;11.0;2.0;3.0;7.4;1.6923077;1.6923077;0.17391305;
http://CellAutomata.istic.fr/CellEvol;1.0;0.0;1.0;0.0;0.0;0.4;1.0;1.0;0.0;
http:///org/eclipse/ui/views/properties/tabbed/examples/org.eclipse.ui.examples.views.properties.tabbed.hockeyleague.ecore;10.0;10.0;41.0;2.0;4.0;13.4;2.0;4.0;0.37804878;
http://www.eclipse.org/papyrus/properties;37.0;44.0;42.0;3.0;4.0;26.0;1.972973;43.972973;0.35338345;
http://www.robotframework.org/text/Space;28.0;22.0;15.0;1.0;3.0;13.8;1.5714285;3.5714285;0.3272727;
http://zanshin.disi.unitn.it/1.0/ltl;5.0;0.0;1.0;3.0;0.0;1.8;2.8;2.8;0.0;
http://mvcmetamodel/1.0;23.0;14.0;26.0;4.0;3.0;14.0;2.9130435;2.9130435;0.09090909;
http://www.eclipse.org/wsdl/2003/MIME;116.0;162.0;132.0;8.0;5.0;84.6;4.112069;104.11207;0.67727774;
http://www.eclipse.org/emf/texo/test/model/samples/music;5.0;5.0;20.0;0.0;2.0;6.4;1.0;6.0;0.0;
http://www.ptolemy.org/kernel;14.0;27.0;2.0;8.0;3.0;10.8;3.9285715;24.928572;0.6506024;
http://www.eclipse.org/xtext/tutorial/survey/Survey;8.0;8.0;9.0;1.0;3.0;5.8;1.25;4.25;0.1904762;
http://www.eclipse.org/example;5.0;10.0;8.0;0.0;2.0;5.0;1.0;19.0;0.0;
http://www.lunifera.org/dsl/organization/v1;10.0;11.0;23.0;1.0;2.0;9.4;1.7;9.7;0.0;
http://www.unidue.de/ecg/characterScript/CharacterScript;16.0;12.0;15.0;2.0;3.0;9.6;1.75;4.75;0.20588236;
http://www.wazaabi.org/edp;22.0;6.0;12.0;7.0;2.0;9.8;2.9545455;2.9545455;0.6896552;
platform:/resource/org.eclipse.emf.examples.xmlgen/model/rss-2.0.xsd;13.0;15.0;57.0;0.0;2.0;17.4;1.0;1.0;0.0;
http://www.femto-st.fr/disc/Modelica.ecore;22.0;31.0;51.0;2.0;2.0;21.6;1.5454545;65.545456;0.6168224;
http://www.uppaal.org/xml/description/Description;81.0;112.0;21.0;2.0;4.0;44.0;2.4074075;2.4074075;0.0;
http://melanee.org/ebnfmm;14.0;5.0;4.0;4.0;1.0;5.6;3.0714285;9.071428;0.7352941;
http://www.devboost.org/stanford/language;95.0;8.0;5.0;2.0;2.0;22.4;2.0105264;15.010527;0.9584665;
http://www.unibo.it/Arduino;41.0;34.0;38.0;3.0;2.0;23.6;1.8292683;18.829268;0.20879121;
http://de.hub.emffrag/emffrag;6.0;1.0;6.0;1.0;1.0;3.0;1.5;1.5;0.53333336;
http://miso.es/genericity/benchmarks/bio_src;10.0;12.0;28.0;0.0;1.0;10.2;1.0;4.0;0.0;
ObjectOrientedModel_1_deployment.xmi;4.0;2.0;6.0;1.0;0.0;2.6;1.5;7.5;0.42857143;
http://www.eclipse.org/b3/2010/p2/1.0.0;51.0;30.0;52.0;7.0;2.0;28.4;2.4117646;4.4117646;0.70289856;
http://library/1.0;3.0;4.0;5.0;0.0;2.0;2.8;1.0;3.0;0.0;
http://org.eclipse.jst.jsf.core/componentMapping.ecore;7.0;2.0;16.0;1.0;2.0;5.6;1.4285715;1.4285715;0.33333334;
http:///predefinedobjects.ecore;32.0;0.0;135.0;0.0;0.0;33.4;1.0;1.0;0.0;
http://www.sebastianbenz.de/xgherkin/Gherkin;18.0;10.0;10.0;1.0;3.0;8.4;1.6111112;1.6111112;0.5121951;
http://genericity/examples/basicBlocks;3.0;4.0;3.0;0.0;2.0;2.4;1.0;3.0;0.0;
http://jutzig.de/jabylon/users;5.0;7.0;10.0;0.0;2.0;4.8;1.0;5.0;0.0;
http://eclipselabs.org/mlang/soy;17.0;14.0;7.0;5.0;2.0;9.0;2.6470587;22.647058;0.59615386;
http://www.eclipselabs.org/mongo/emf/model;2.0;0.0;3.0;1.0;0.0;1.2;1.5;1.5;0.0;
system.reliability.model;6.0;8.0;8.0;1.0;2.0;5.0;1.3333334;17.333332;0.11111111;
http://novafrigor/1.0;19.0;15.0;48.0;0.0;2.0;16.8;1.0;16.0;0.0;
http://www.dollyn.me/goide/Golang;3.0;1.0;3.0;0.0;1.0;1.6;1.0;1.0;0.0;
http://modulob.dubmas.de/1.0;21.0;20.0;21.0;2.0;4.0;13.6;1.6666666;6.6666665;0.19607843;
ns_uri;42.0;58.0;102.0;2.0;8.0;42.4;1.3571428;29.357143;0.14438502;
http://www.talend.com/joblet.ecore;27.0;40.0;94.0;1.0;2.0;32.8;1.074074;1.074074;0.20710059;
http://www.eclipse.org/NET4J/util/defs/1.0.0;12.0;6.0;7.0;2.0;2.0;5.8;2.0833333;7.083333;0.071428575;
http://www.bonitasoft.org/ns/actormapping/6.0;8.0;9.0;8.0;0.0;2.0;5.4;1.0;1.0;0.0;
http://MMUseCase;51.0;72.0;92.0;3.0;5.0;44.6;2.0980392;37.098038;0.52873564;
http://cartesiancoordinatesystem/1.0;9.0;8.0;9.0;2.0;1.0;5.8;2.1111112;7.111111;0.58536583;
http://www.eclipse.org/team/psf;6.0;5.0;12.0;0.0;3.0;5.2;1.0;1.0;0.0;
http://irit.fr/scenarioparticipant;25.0;30.0;14.0;2.0;4.0;15.0;1.76;1.76;0.21428572;
http:///edu;66.0;50.0;4.0;5.0;2.0;25.4;3.5454545;11.545454;0.49056605;
http://uam.es/StateCharts;7.0;5.0;1.0;2.0;1.0;3.2;2.0;13.0;0.78571427;
http://www.eclipse.org/papyrus/alf/Alf;102.0;127.0;39.0;3.0;14.0;57.0;1.5980393;1.5980393;0.07777778;
http://www.istic.fr/idm/cellularautomata/initialization;4.0;3.0;3.0;0.0;2.0;2.4;1.0;1.0;0.0;
java://org.eclipse.stardust.engine.extensions.transformation.model;3.0;2.0;6.0;0.0;1.0;2.4;1.0;1.0;0.0;
http://de.hub.emffrag/emffrag_internal;1.0;1.0;4.0;0.0;1.0;1.4;1.0;1.0;0.0;
http://spray.eclipselabs.org/examples/Epk;29.0;31.0;1.0;4.0;1.0;13.2;2.7586207;30.758621;0.60493827;
http:///org/generationcp/model/core/publication.ecore;85.0;119.0;54.0;5.0;4.0;53.4;3.7882352;181.78824;0.7995365;
OO_concept;17.0;12.0;3.0;5.0;2.0;7.8;2.8235295;12.823529;0.75409836;
http://www.eclipse.org/ocl/1.0.0/CG;75.0;63.0;23.0;8.0;3.0;34.4;6.52;62.52;0.85924715;
http://www.eclipse.org/emf/teneo/samples/emf/annotations/embeddedid;2.0;1.0;3.0;0.0;1.0;1.4;1.0;1.0;0.0;
http://www.example.org/ctx;15.0;11.0;2.0;4.0;2.0;6.8;2.8666666;10.866667;0.55172414;
http://openscada.org/openSCADA/DetailView/1.0;37.0;15.0;74.0;3.0;3.0;26.4;2.162162;2.162162;0.4702381;
http://org/mmiEventsModel;89.0;0.0;23.0;4.0;0.0;23.2;3.5730338;3.5730338;0.89252335;
http://sitacview/1.0;19.0;9.0;7.0;2.0;2.0;7.8;1.9473684;4.9473686;0.2;
http://www.opengis.net/citygml/relief/1.0;10.0;29.0;9.0;4.0;7.0;11.8;3.5;3.5;0.77380955;
http://www.correttouml.org/grammars/Assignments;4.0;5.0;4.0;0.0;3.0;3.2;1.0;1.0;0.0;
